system_id,system_name,status,expected_hospital_count_total,expected_acute_hospital_count,expected_system_bed_count,expected_physician_count,expected_linked_hospital_rows,expected_linked_acute_rows,actual_hospital_count_total,actual_acute_hospital_count,actual_system_bed_count,actual_physician_count,actual_linked_hospital_rows,actual_linked_acute_rows
HSI00001352,Schneck Medical Center,pass,1,1,52,70,1,1,1,1,52,70,1,1
HSI00001354,Self Regional Healthcare,pass,2,2,315,201,2,2,2,2,315,201,2,2
HSI00001356,Island Hospital,pass,1,1,43,65,1,1,1,1,43,65,1,1
HSI00001359,Stillwater Medical Center Authority,pass,4,4,147,105,4,4,4,4,147,105,4,4
HSI00001365,Valley View Hospital Association,pass,1,1,31,102,1,1,1,1,31,102,1,1
HSI00001369,AtlantiCare,pass,1,1,532,364,1,1,1,1,532,364,1,1
HSI00001377,UofL Health,pass,7,5,1154,1330,7,5,7,5,1154,1330,7,5
HSI00001378,Prisma Health,pass,12,10,2129,2596,12,10,12,10,2129,2596,12,10
HSI00001381,Saint Marys Healthcare,pass,2,1,100,64,2,1,2,1,100,64,2,1
HSI00001382,AnMed Health,pass,2,2,409,318,2,2,2,2,409,318,2,2
HSI00001383,OU Health,pass,2,2,819,1521,2,2,2,2,819,1521,2,2
HSI00001386,Crouse Health System,pass,1,1,502,182,1,1,1,1,502,182,1,1
HSI00001389,Holy Name Medical Center,pass,1,1,289,192,1,1,1,1,289,192,1,1
HSI00001396,Cape Regional Health System,pass,1,1,149,85,1,1,1,1,149,85,1,1
HSI00001400,Summit Healthcare,pass,1,1,89,66,1,1,1,1,89,66,1,1
HSI00001402,Tri State Memorial Hospital,pass,1,1,25,61,1,1,1,1,25,61,1,1
HSI00001403,San Mateo County Health,pass,1,1,69,152,1,1,1,1,69,152,1,1
HSI00001407,The Brooklyn Hospital Center,pass,1,1,236,216,1,1,1,1,236,216,1,1
HSI00001409,El Paso County Hospital District,pass,1,1,296,121,1,1,1,1,296,121,1,1
HSI00001412,Redington Fairview General Hospital,pass,1,1,25,52,1,1,1,1,25,52,1,1
HSI00001415,LMH Health,pass,1,1,110,132,1,1,1,1,110,132,1,1
HSI00001416,Beth Israel Lahey Health,pass,10,9,2146,4646,10,9,10,9,2146,4646,10,9
HSI00001419,Jupiter Medical Center,pass,1,1,242,105,1,1,1,1,242,105,1,1
HSI00001421,Wooster Community Hospital Health System,pass,1,1,112,75,1,1,1,1,112,75,1,1
HSI00001423,Pikeville Medical Center,pass,1,1,328,160,1,1,1,1,328,160,1,1
HSI00001424,Memorial Hospital of Sweetwater County,pass,1,1,58,89,1,1,1,1,58,89,1,1
HSI00001427,CommonSpirit Health,pass,145,136,16679,11143,145,136,145,136,16679,11143,145,136
HSI00001428,Bon Secours Mercy Health,pass,37,36,5641,3821,37,36,37,36,5641,3821,37,36
HSI00001430,Catholic Health Systems,pass,5,5,1046,806,5,5,5,5,1046,806,5,5
HSI00001431,Hays Medical Center,pass,2,2,160,101,2,2,2,2,160,101,2,2
HSI00001436,Overlake Medical Center and Clinics,pass,1,1,296,326,1,1,1,1,296,326,1,1
HSI00001441,South Central Regional Medical Center Health System,pass,1,1,268,86,1,1,1,1,268,86,1,1
HSI00001442,Englewood Health,pass,1,1,274,517,1,1,1,1,274,517,1,1
HSI00001443,Montage Health,pass,1,1,227,213,1,1,1,1,227,213,1,1
HSI00001446,Foundation Health Partners,pass,1,1,122,104,1,1,1,1,122,104,1,1
HSI00001447,North Country Healthcare,pass,3,3,50,52,3,3,3,3,50,52,3,3
HSI00001449,Oaklawn Hospital,pass,1,1,78,63,1,1,1,1,78,63,1,1
HSI00001450,Larkin Health System,pass,3,2,237,232,3,2,3,2,237,232,3,2
HSI00001457,San Joaquin County Clinics,pass,1,1,206,182,1,1,1,1,206,182,1,1
HSI00001458,Lawrence General Hospital,pass,1,1,186,332,1,1,1,1,186,332,1,1
HSI00001464,MLK Community Healthcare,pass,1,1,152,65,1,1,1,1,152,65,1,1
HSI00001473,Anderson Medical Group,pass,1,1,144,80,1,1,1,1,144,80,1,1
HSI00001475,ScionHealth,pass,82,17,1803,660,82,17,82,17,1803,660,82,17
HSI00001481,Southern Ohio Medical Center,pass,1,1,192,120,1,1,1,1,192,120,1,1
HSI00001497,Valley Childrens Healthcare,pass,1,1,358,293,1,1,1,1,358,293,1,1
HSI00001499,VHC Health,pass,1,1,385,243,1,1,1,1,385,243,1,1
HSI00001500,Childrens Hospital Colorado,pass,1,1,497,756,1,1,1,1,497,756,1,1
HSI00001501,Boone Hospital Center,pass,1,1,278,96,1,1,1,1,278,96,1,1
HSI00001502,Antelope Valley Medical Center,pass,1,1,393,55,1,1,1,1,393,55,1,1
HSI00001506,Tri City Healthcare District,pass,1,1,310,75,1,1,1,1,310,75,1,1
HSI00001520,El Centro Regional Medical Center,pass,1,1,161,60,1,1,1,1,161,60,1,1
HSI00001525,Williamson County Hospital District,pass,1,1,203,74,1,1,1,1,203,74,1,1
HSI00001526,Advocate Health,pass,58,53,10615,10537,58,53,58,53,10615,10537,58,53
HSI00001529,Ozarks Healthcare,pass,1,1,111,58,1,1,1,1,111,58,1,1
HSI00001532,Shore Physicians Group,pass,1,1,199,87,1,1,1,1,199,87,1,1
HSI00001533,Riverside Healthcare,pass,1,1,256,143,1,1,1,1,256,143,1,1
HSI00001540,Western Wisconsin Health,pass,2,2,25,50,2,2,2,2,25,50,2,2
HSI00001545,Cullman Regional Medical Center,pass,1,1,137,73,1,1,1,1,137,73,1,1
HSI00001546,OroHealth Corporation,pass,1,1,153,92,1,1,1,1,153,92,1,1
HSI00001560,Little Company of Mary Hospital of Indiana,pass,1,1,96,117,1,1,1,1,96,117,1,1
HSI00001561,American Healthcare Systems,pass,3,3,623,127,3,3,3,3,623,127,3,3
HSI00001571,Saint Tammany Health System,pass,1,1,213,106,1,1,1,1,213,106,1,1
HSI00001580,Knox Community Hospital,pass,1,1,64,63,1,1,1,1,64,63,1,1
HSI00001588,Saint Johns Health,pass,1,1,48,50,1,1,1,1,48,50,1,1
