drg_code,service_line
643,Renal / Urology
644,Renal / Urology
645,Renal / Urology
652,Oncology
653,Oncology
654,Oncology
655,Oncology
656,Oncology
657,Oncology
658,Oncology
659,Oncology
660,Oncology
661,Oncology
662,Oncology
663,Oncology
664,Oncology
665,Oncology
666,Oncology
667,Oncology
668,Oncology
669,Oncology
670,Oncology
671,Oncology
672,Oncology
673,Oncology
674,Oncology
675,Oncology
682,Renal / Urology
683,Renal / Urology
684,Renal / Urology
685,Renal / Urology
686,Renal / Urology
687,Renal / Urology
688,Renal / Urology
689,Renal / Urology
690,Renal / Urology
691,Renal / Urology
692,Renal / Urology
693,Renal / Urology
694,Renal / Urology
695,Renal / Urology
696,Renal / Urology
697,Renal / Urology
698,Renal / Urology
699,Renal / Urology
700,Renal / Urology
707,Women's Health / OB-GYN
708,Women's Health / OB-GYN
709,Women's Health / OB-GYN
710,Women's Health / OB-GYN
711,Women's Health / OB-GYN
712,Women's Health / OB-GYN
713,Women's Health / OB-GYN
714,Women's Health / OB-GYN
715,Women's Health / OB-GYN
716,Women's Health / OB-GYN
717,Women's Health / OB-GYN
718,Women's Health / OB-GYN
722,Women's Health / OB-GYN
723,Women's Health / OB-GYN
724,Women's Health / OB-GYN
725,Women's Health / OB-GYN
726,Women's Health / OB-GYN
727,Women's Health / OB-GYN
728,Women's Health / OB-GYN
729,Women's Health / OB-GYN
730,Women's Health / OB-GYN
734,Women's Health / OB-GYN
735,Women's Health / OB-GYN
736,Women's Health / OB-GYN
737,Women's Health / OB-GYN
738,Women's Health / OB-GYN
739,Women's Health / OB-GYN
740,Women's Health / OB-GYN
741,Women's Health / OB-GYN
742,Women's Health / OB-GYN
743,Women's Health / OB-GYN
744,Women's Health / OB-GYN
745,Women's Health / OB-GYN
746,Women's Health / OB-GYN
747,Women's Health / OB-GYN
748,Women's Health / OB-GYN
749,Women's Health / OB-GYN
750,Women's Health / OB-GYN
754,Women's Health / OB-GYN
755,Women's Health / OB-GYN
756,Women's Health / OB-GYN
757,Women's Health / OB-GYN
758,Women's Health / OB-GYN
759,Women's Health / OB-GYN
760,Women's Health / OB-GYN
761,Women's Health / OB-GYN
765,Neonatal
766,Neonatal
767,Neonatal
768,Neonatal
769,Neonatal
770,Neonatal
774,Neonatal
775,Neonatal
776,Neonatal
789,Oncology
790,Oncology
791,Oncology
792,Oncology
793,Oncology
794,Oncology
795,Oncology
799,Oncology
800,Oncology
801,Oncology
802,Oncology
803,Oncology
804,Oncology
808,Oncology
809,Oncology
810,Oncology
811,Oncology
812,Oncology
813,Oncology
814,Oncology
815,Oncology
816,Oncology
820,Oncology
821,Oncology
822,Oncology
823,Oncology
824,Oncology
825,Oncology
826,Oncology
827,Oncology
828,Oncology
829,Oncology
830,Oncology
834,Oncology
835,Oncology
836,Oncology
837,Oncology
838,Oncology
839,Oncology
840,Oncology
841,Oncology
842,Oncology
843,Oncology
844,Oncology
845,Oncology
846,Oncology
847,Oncology
848,Oncology
849,Oncology
853,Infectious Disease
854,Infectious Disease
855,Infectious Disease
856,Infectious Disease
857,Infectious Disease
858,Infectious Disease
862,Infectious Disease
863,Infectious Disease
864,Infectious Disease
865,Infectious Disease
866,Infectious Disease
867,Infectious Disease
868,Infectious Disease
869,Infectious Disease
870,Infectious Disease
871,Infectious Disease
872,Infectious Disease
876,Behavioral Health
880,Behavioral Health
881,Behavioral Health
882,Behavioral Health
883,Behavioral Health
884,Behavioral Health
885,Behavioral Health
886,Behavioral Health
887,Behavioral Health
894,Behavioral Health
895,Behavioral Health
896,Behavioral Health
897,Behavioral Health
901,Behavioral Health
902,Behavioral Health
903,Behavioral Health
904,Behavioral Health
905,Behavioral Health
906,Behavioral Health
907,Behavioral Health
908,Behavioral Health
